listing_id,id,date,reviewer_id,reviewer-name,comments
8974302,39624554,2018-04-03,11508,John,I'm cutting the price of airplanes with Lockheed. Make America great again!
8974302,39624555,2018-04-06,11509,Karen,A reporter for Time magazine  and I have been on their cover 14 or 15 times. I think we have the all-time record in the history of Time magazine.
8974302,39624556,2018-04-09,11510,James,Between 3 million and 5 million illegal votes caused me to lose the popular vote.
8974302,39624557,2018-04-16,11511,Brian,"Now, the audience was the biggest ever. But this crowd was massive. Look how far back it goes. This crowd was massive."
8974302,39624558,2018-04-21,11512,Kim,My whole life is about winning. I don't lose often. I almost never lose.
8974302,39624559,2018-05-03,11513,Johnny,There are people. I categorize them as life's losers. @ho get their sense of accomplishment and achievement from trying to stop others. You're a loser.
8974302,39624560,2018-05-09,11514,Sophia,"So, look, when President Obama was there two weeks ago making a speech, very nice speech. Two people were shot and killed during his speech. You can't have that."
8974302,39624561,2018-05-16,11515,Gabriel,We've taken in tens of thousands of people. We know nothing about them. They can say they vet them. They didn't vet them. They have no papers. How can you vet somebody when you don't know anything about them and you have no papers? How do you vet them? You can't.
8974302,39624562,2018-05-26,11516,Tom,"I cut off hundreds of millions of dollars off one particular plane, hundreds of millions of dollars in a short period of time. It wasn't like I spent, like, weeks, hours, less than hours, and many, many hundreds of millions of dollars. And the plane's going to be better."
8974302,39624563,2018-06-01,11517,Sheila,The coverage about me in the @nytimes and the @washingtonpost has been so false and angry that the Times actually apologized to its dwindling subscribers and readers.
8974302,39624564,2018-06-09,11518,Paal,"Show me someone without an ego, and I'll show you a loser -- having a healthy ego, or high opinion of yourself, is a real positive in life! You're a loser!"
8974302,39624565,2018-06-14,11519,Eu-Loong,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage. American will start winning again, winning like never before."
8974302,39624566,2018-06-22,11520,Olivia,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!"
8974302,39624567,2018-07-03,11521,Daniel,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!"
8974302,39624568,2018-07-05,11522,Max,"I would like to extend my best wishes to all, even the haters and losers, on this special date, September 11th."
8974302,39624569,2018-07-11,11523,Kevin,"I have already saved more than $700 million when I got involved in the negotiation on the F-35.  I'm the best. Work hard, be smart and always remember, winning takes care of everything!"
8974302,39624570,2018-07-16,11524,Sarah,"It's gotten to a point where it is not even being reported. And in many cases, the very, very dishonest press doesn't want to report it. I'm the best."
8974302,39624571,2018-07-24,11525,Rachel,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!
8974302,39624572,2018-08-03,11526,Ben,"And the previous administration allowed it to happen because we shouldn't have been in Iraq, but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed."
8974302,39624573,2018-08-11,11527,Craig,"And yet the murder rate in our country is the highest it’s been in 47 years, right? Did you know that? Forty-seven years."
8974302,39624574,2018-08-19,11528,Lee,"I saved more than $600 million. I got involved in negotiation on a fighter jet, the F-35. American will start winning again, winning like never before."
8974302,39624575,2018-08-22,11529,Ali,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ‘service’ in Vietnam. FAKE NEWS!"
8974302,39624576,2018-08-28,11530,Oliver,"ay what you want about the Islamic State, but it's a stretch to call a group that controls this much territory in Syria ""losers."" Bad guys? Yes. Losers? Not yet. If the world dismisses ISIS as a ""loser,"" it might not take the threat it poses as seriously."
8974302,39624577,2018-09-03,11531,Will,"I don’t know about it. I haven’t seen it. What report is that? MAKE AMERICA GREAT AGAIN! I went to an Ivy League school. I'm highly educated. I know words. I have the best words, I have the best, but there is no better word than stupid. Right?"
8974302,39624578,2018-09-11,11532,Sam,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!
8974302,39624579,2018-09-16,11533,Callum,We got 306 because people came out and voted like they've never seen before so that's the way it goes. I guess it was the biggest Electoral College win since Ronald Reagan. MAKE AMERICA GREAT AGAIN!
8974302,39624580,2018-09-26,11534,Ned,That’s the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.
8974302,39624581,2018-10-02,11535,Alex,"Walmart announced it will create 10,000 jobs in the United States just this year because of our various plans and initiatives. We used to call it the quiet majority but people are fed up - they are fed up with incompetence, they are fed up with stupid leaders, they are fed up with stupid people."
8974302,39624582,2018-10-06,11536,Becky,"When WikiLeaks, which I had nothing to do with, comes out and happens to give, they’re not giving classified information."
8974302,39624583,2018-10-13,11537,Claire,We had a very smooth rollout of the travel ban. But we had a bad court. Got a bad decision.
8974302,39624584,2018-10-16,11538,Molly,"They’re giving stuff — what was said at an office about Hillary cheating on the debates. Which, by the way, nobody mentions. Nobody mentions that Hillary received the questions to the debates."
8974302,39624585,2018-10-24,11539,Matt,And there was no way to vet those people. There was no documentation. There was no nothing.
8974302,39624586,2018-11-04,11540,Ming,"You look at what's happening in Germany, you look at what's happening last night in Sweden. Sweden, who would believe this?"
8974302,39624587,2018-11-09,11541,Todd,"By the way, you folks are in here  this place is packed, there are lines that go back six blocks. NO COLLUSION - RIGGED WITCH HUNT!"
8974302,39624588,2018-11-13,11542,Chris,ICE came and endorsed me. Make America great again! Free trade is terrible. Free trade can be wonderful if you have smart people. But we have stupid people.
8974302,39624589,2018-11-19,11543,Lochlan,"Obamacare covers very few people  and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them it was taken away from them."
8974302,39624590,2018-12-04,11544,Jack,"Since Obamacare went into effect, nearly half of the insurers are stopped and have stopped from participating in the Obamacare exchanges."
8974302,39624591,2018-12-08,11545,Dylan,"On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour. So I think that might be my highest and best use."
8974302,39624592,2018-12-17,11546,Emiel,"And now, based on our very strong and frank discussions, they are beginning to do just that."
8974302,39624593,2018-12-23,11547,Lisa,The E.P.A.’s regulators were putting people out of jobs by the hundreds of thousands.
8974302,39624594,2018-01-05,11548,Nicole,We have begun to drain the swamp of government corruption by imposing a five-year ban on lobbying by executive branch officials. MAKE AMERICA GREAT AGAIN
8974302,39624595,2018-01-11,11549,Jess,"It is so pathetic that the Dems have still not approved my full Cabinet.  It is the level of stupidity that is incredible. I'm telling you, I used to use the word incompetent. Now I just call them stupid."
8974302,39624596,2018-01-19,11550,Amy,Terrible! Just found out that Obama had my ‘wires tapped’ in Trump Tower just before the victory. Nothing found. This is McCarthyism!
8974302,39624597,2018-02-05,11551,Anna,How low has President Obama gone to tap my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!
8974302,39624598,2018-02-15,11552,Carol,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision! MAKE AMERICA GREAT AGAIN"
8974302,39624599,2018-02-19,11553,Sandra,"I saved a lot of money on those jets, didn't I? Did I do a good job? More than $725 million on them. Make America great again!"
8974302,39624600,2018-01-24,11554,Peng,"First of all, it covers very few people."
8974302,39624601,2018-03-14,11555,Darrel,"On the airplanes, I saved $725 million. Probably took me a half an hour if you added up all of the times."
8974302,39624602,2018-03-21,11556,Simon,"I was in Tennessee  I was just telling the folks  and half of the state has no insurance company, and the other half is going to lose the insurance company.  I'm the best."
8974302,39624603,2018-04-05,11557,Paul,The Trump candidacy is a Veep storyline that would have been discarded for being too absurd even for an HBO comedy
8974302,39624604,2018-04-13,11558,Ruby,"U.S. President Donald Trump ""is a sexual predator"" and ""a racist,"" and ""it's right to say that,"" according to U.K. Shadow Foreign Secretary Emily Thornberry. A state visit is an honor, and we don’t think that this president deserves an honor
"
8974302,39624604,2018-12-11,11558,Nicole,"China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020."
8974302,39624604,2018-12-19,11558,Jess,"I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs."
8974302,39624604,2018-02-05,11558,Amy,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’
8974302,39624604,2018-02-15,11558,Anna,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C."
8974302,39624604,2018-12-19,11558,Carol,"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!"
8974302,39624604,2018-01-24,11558,Sandra,They all say it's 'nonbinding.' Like hell it's nonbinding.
8974302,39624604,2018-03-14,11558,Peng,"Right now, we are one of the highest-taxed nations in the world."
8974302,39624604,2018-03-21,11558,Darrel,"You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands."
8974302,39624604,2018-08-05,11558,Simon,Your insurance companies have all fled the state of Iowa.
8974302,39624604,2018-04-13,11558,Paul,"If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?"
8974302,39624604,2018-12-11,11558,Ruby,"Gary Cohn just paid $200 million in tax in order to take this job, by the way."
8974302,39624604,2018-01-19,11558,Nicole,We’re 5 and 0. MAKE AMERICA GREAT AGAIN
8974302,39624604,2018-02-05,11558,Jess,"Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades."
8974302,39624604,2018-02-15,11558,Amy,Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.
8974302,39624604,2018-02-19,11558,Anna,We are 5 and 0 ... in these special elections.
8974302,39624604,2018-01-24,11558,Carol,Ratings way down!
8974302,39624604,2018-03-14,11558,Sandra,Democrats purposely misstated Medicaid under new Senate bill  actually goes up.
8974302,39624604,2018-03-21,11558,Peng,"General Kelly and his whole group  they’ve gotten rid of 6,000 so far."
8974302,39624604,2018-04-05,11558,Darrel,"As a result of this insistence, billions of dollars more have begun to pour into NATO."
8974302,39624604,2018-10-13,11558,Simon,"We’ve signed more bills  and I’m talking about through the legislature  than any president, ever."
8974302,39624604,2018-01-11,11558,Paul,"Um, the Russian investigation  it’s not an investigation, it’s not on me  you know, they’re looking at a lot of things."
8974302,39624604,2018-01-19,11558,Ruby,"I heard that Harry Truman was first, and then we beat him. These are approved by Congress. These are not just executive orders."
8974302,39624604,2018-02-05,11558,Jack,"But the F.B.I. person really reports directly to the president of the United States, which is interesting. "
